ts,model,label,ctx,num_ctx,run,prompt_tok,gen_tok,needles_ok,prefill_tps,decode_tps,ttft_s,prompt_s,gen_s,load_s,wall_s,mem_gb,error
2026-06-16 17:03:30,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,0.5k-chat,2048,1,802,30,3/3,3067.7,42.7,0.373,0.26,0.7,0.1,1.09,5.2,
2026-06-16 17:03:31,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,0.5k-chat,2048,2,801,30,3/3,3077.4,42.8,0.377,0.26,0.7,0.11,1.09,,
2026-06-16 17:03:32,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,0.5k-chat,2048,3,803,30,3/3,3053.2,42.6,0.383,0.26,0.7,0.11,1.1,,
2026-06-16 17:03:33,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,8k,8192,1,5303,26,3/3,2967.2,38.9,3.736,1.79,0.67,1.93,4.42,6.3,
2026-06-16 17:03:37,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,8k,8192,2,5303,26,3/3,2941.3,39.0,1.937,1.8,0.67,0.12,2.62,,
2026-06-16 17:03:40,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,8k,8192,3,5303,26,3/3,2937.2,38.9,1.916,1.81,0.67,0.09,2.6,,
2026-06-16 17:03:46,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,32k,32768,1,21180,30,3/3,2319.6,29.0,9.323,9.13,1.03,0.15,10.38,11.2,
2026-06-16 17:03:56,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,32k,32768,2,21182,30,3/3,2320.4,29.0,9.303,9.13,1.04,0.12,10.38,,
2026-06-16 17:04:06,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,32k,32768,3,21180,30,3/3,2318.0,28.9,9.314,9.14,1.04,0.13,10.38,,
2026-06-16 17:04:20,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,64k,65536,1,43102,30,3/3,1831.0,20.9,23.807,23.54,1.44,0.13,25.32,17.7,
2026-06-16 17:04:45,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,64k,65536,2,43102,30,3/3,1826.0,21.2,23.802,23.6,1.42,0.12,25.26,,
2026-06-16 17:05:10,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,64k,65536,3,43104,30,3/3,1821.5,21.0,23.89,23.66,1.43,0.12,25.36,,
2026-06-16 17:05:39,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,128k,131072,1,82381,82,3/3,1275.9,14.3,64.849,64.57,5.74,0.11,70.68,30.7,
2026-06-16 17:06:50,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,128k,131072,2,82382,82,3/3,1293.2,14.2,63.974,63.71,5.76,0.11,69.82,,
2026-06-16 17:08:00,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,128k,131072,3,82381,21,3/3,1293.9,14.8,63.974,63.67,1.42,0.12,65.46,,
2026-06-16 17:09:18,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,0.5k-chat,2048,1,847,26,3/3,4219.0,56.5,0.443,0.2,0.46,0.23,0.92,10.4,
2026-06-16 17:09:19,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,0.5k-chat,2048,2,843,103,3/3,4380.0,56.6,0.419,0.19,1.82,0.22,2.29,,
2026-06-16 17:09:21,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,0.5k-chat,2048,3,845,103,3/3,4338.1,57.2,0.404,0.19,1.8,0.2,2.25,,
2026-06-16 17:09:24,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,8k,8192,1,5522,26,3/3,4311.7,53.2,4.864,1.28,0.49,3.43,5.39,10.7,
2026-06-16 17:09:29,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,8k,8192,2,5522,26,3/3,4344.7,54.9,1.5,1.27,0.47,0.19,2.0,,
2026-06-16 17:09:31,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,8k,8192,3,5521,26,3/3,4370.2,54.9,1.514,1.26,0.47,0.22,2.01,,
2026-06-16 17:09:37,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,32k,32768,1,22013,116,3/3,3894.0,45.7,5.982,5.65,2.54,0.24,8.62,11.1,
2026-06-16 17:09:46,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,32k,32768,2,22014,103,3/3,3904.6,47.2,5.952,5.64,2.18,0.22,8.26,,
2026-06-16 17:09:54,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,32k,32768,3,22015,103,3/3,3902.8,47.0,5.984,5.64,2.19,0.23,8.3,,
2026-06-16 17:10:07,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,64k,65536,1,44793,26,3/3,3397.5,40.8,13.638,13.18,0.64,0.19,14.39,11.7,
2026-06-16 17:10:21,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,64k,65536,2,44793,26,3/3,3419.8,40.2,13.543,13.1,0.65,0.23,14.32,,
2026-06-16 17:10:35,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,64k,65536,3,44791,26,3/3,3422.0,41.2,13.58,13.09,0.63,0.21,14.34,,
2026-06-16 17:10:54,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,128k,131072,1,85594,26,3/3,2723.3,33.5,32.077,31.43,0.78,0.2,33.15,13.0,
2026-06-16 17:11:27,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,128k,131072,2,85594,26,3/3,2779.6,33.5,31.499,30.79,0.78,0.2,32.51,,
2026-06-16 17:12:00,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,128k,131072,3,85593,26,3/3,2774.8,32.4,31.491,30.85,0.8,0.23,32.6,,
2026-06-16 17:12:44,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,0.5k-chat,2048,1,897,427,3/3,3276.8,58.7,0.561,0.27,7.27,0.21,7.91,14.0,
2026-06-16 17:12:52,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,0.5k-chat,2048,2,895,418,3/3,3269.5,58.9,0.514,0.27,7.1,0.18,7.7,,
2026-06-16 17:13:00,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,0.5k-chat,2048,3,898,471,3/3,3315.7,58.8,0.537,0.27,8.01,0.2,8.65,,
2026-06-16 17:13:08,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,8k,8192,1,5652,334,2/3,3234.2,57.0,5.394,1.75,5.86,3.46,11.33,14.2,
2026-06-16 17:13:19,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,8k,8192,2,5650,362,1/3,3290.2,57.5,1.983,1.72,6.3,0.19,8.36,,
2026-06-16 17:13:28,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,8k,8192,3,5650,334,3/3,3293.8,57.5,1.969,1.72,5.81,0.16,7.85,,
2026-06-16 17:13:40,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,32k,32768,1,22428,302,3/3,2966.1,49.1,7.937,7.56,6.15,0.18,14.19,14.9,
2026-06-16 17:13:54,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,32k,32768,2,22428,243,1/3,2983.0,49.3,7.9,7.52,4.92,0.17,12.9,,
2026-06-16 17:14:07,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,32k,32768,3,22428,252,1/3,2985.0,49.3,7.872,7.51,5.11,0.18,13.06,,
2026-06-16 17:14:24,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,64k,65536,1,45596,246,1/3,2492.3,43.3,18.725,18.29,5.69,0.2,24.53,15.8,
2026-06-16 17:14:49,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,64k,65536,2,45592,246,1/3,2547.5,43.1,18.42,17.9,5.71,0.2,24.26,,
2026-06-16 17:15:13,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,64k,65536,3,45594,246,1/3,2541.7,42.9,18.392,17.94,5.74,0.2,24.25,,
2026-06-16 17:15:42,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,128k,131072,1,87097,227,1/3,2032.5,35.0,43.44,42.85,6.48,0.19,50.08,17.6,
2026-06-16 17:16:32,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,128k,131072,2,87096,249,1/3,2039.1,35.0,43.342,42.71,7.11,0.18,50.64,,
2026-06-16 17:17:23,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,128k,131072,3,87096,249,1/3,2037.8,35.0,43.327,42.74,7.12,0.15,50.62,,
2026-06-16 17:18:25,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,0.5k-chat,2048,1,1366,74,3/3,1564.6,13.9,1.022,0.87,5.33,0.14,6.37,16.4,
2026-06-16 17:18:31,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,0.5k-chat,2048,2,1368,74,3/3,1561.2,13.9,1.017,0.88,5.34,0.13,6.38,,
2026-06-16 17:18:38,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,0.5k-chat,2048,3,1366,74,3/3,1559.9,13.9,1.036,0.88,5.32,0.15,6.38,,
2026-06-16 17:18:44,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,8k,8192,1,6227,74,3/3,984.5,13.2,9.664,6.32,5.61,3.29,15.32,17.4,
2026-06-16 17:18:59,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,8k,8192,2,6228,74,3/3,1075.3,13.2,5.941,5.79,5.6,0.12,11.58,,
2026-06-16 17:19:11,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,8k,8192,3,6228,74,3/3,1077.1,13.2,5.934,5.78,5.59,0.12,11.56,,
2026-06-16 17:19:29,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,32k,32768,1,23372,71,3/3,886.7,11.4,26.6,26.36,6.21,0.16,32.91,21.4,
2026-06-16 17:20:02,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,32k,32768,2,23374,71,3/3,890.9,11.4,26.462,26.24,6.21,0.11,32.76,,
2026-06-16 17:20:34,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,32k,32768,3,23373,71,3/3,897.3,11.4,26.294,26.05,6.22,0.13,32.6,,
2026-06-16 17:21:13,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,64k,65536,1,47052,76,3/3,764.9,9.6,61.819,61.52,7.92,0.14,69.88,26.8,
2026-06-16 17:22:23,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,64k,65536,2,47053,76,3/3,767.9,9.6,61.639,61.28,7.91,0.14,69.69,,
2026-06-16 17:23:33,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,64k,65536,3,47051,76,3/3,756.8,9.6,62.483,62.17,7.9,0.12,70.52,,
2026-06-16 17:24:51,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,128k,131072,1,89468,76,3/3,616.6,7.4,145.546,145.1,10.21,0.15,155.99,37.6,
2026-06-16 17:27:27,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,128k,131072,2,89470,76,3/3,616.8,7.5,145.515,145.06,10.19,0.1,155.93,,
2026-06-16 17:30:03,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,128k,131072,3,89466,76,3/3,625.6,7.5,143.459,143.0,10.17,0.15,153.88,,
2026-06-16 17:32:49,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,0.5k-chat,2048,1,872,26,3/3,585.6,11.5,1.699,1.49,2.26,0.2,3.98,22.5,
2026-06-16 17:32:53,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,0.5k-chat,2048,2,868,26,3/3,587.4,11.6,1.682,1.48,2.25,0.2,3.95,,
2026-06-16 17:32:57,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,0.5k-chat,2048,3,871,26,3/3,586.3,11.5,1.663,1.49,2.27,0.17,3.94,,
2026-06-16 17:33:01,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,8k,8192,1,5742,26,3/3,589.5,11.3,14.177,9.74,2.31,4.37,16.52,22.9,
2026-06-16 17:33:17,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,8k,8192,2,5740,26,3/3,594.1,11.3,9.884,9.66,2.29,0.2,12.21,,
2026-06-16 17:33:30,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,8k,8192,3,5741,26,3/3,594.2,11.3,9.878,9.66,2.29,0.19,12.2,,
2026-06-16 17:33:50,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,32k,32768,1,22925,26,3/3,572.8,10.6,40.306,40.02,2.45,0.2,42.82,24.7,
2026-06-16 17:34:32,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,32k,32768,2,22924,26,3/3,574.9,10.7,40.099,39.87,2.44,0.15,42.61,,
