ts,model,label,ctx,num_ctx,run,prompt_tok,gen_tok,needles_ok,prefill_tps,decode_tps,ttft_s,prompt_s,gen_s,load_s,wall_s,mem_gb,error
2026-06-17 00:37:44,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,0.5k-chat,2048,1,803,30,3/3,3091.3,42.7,0.401,0.26,0.7,0.13,1.11,5.2,
2026-06-17 00:37:45,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,0.5k-chat,2048,2,804,30,3/3,3135.8,42.7,0.404,0.26,0.7,0.14,1.12,,
2026-06-17 00:37:46,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,0.5k-chat,2048,3,803,30,3/3,3104.8,42.7,0.37,0.26,0.7,0.1,1.08,,
2026-06-17 00:37:47,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,8k,8192,1,5301,26,3/3,3040.0,38.5,3.777,1.74,0.67,2.01,4.47,6.3,
2026-06-17 00:37:52,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,8k,8192,2,5301,26,3/3,3009.3,38.9,1.937,1.76,0.67,0.16,2.62,,
2026-06-17 00:37:54,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,8k,8192,3,5301,26,3/3,3012.9,38.9,1.89,1.76,0.67,0.11,2.58,,
2026-06-17 00:38:00,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,32k,32768,1,21179,30,3/3,2385.0,29.1,9.08,8.88,1.03,0.14,10.15,11.2,
2026-06-17 00:38:10,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,32k,32768,2,21181,30,3/3,2373.7,29.0,9.091,8.92,1.03,0.11,10.15,,
2026-06-17 00:38:20,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,32k,32768,3,21182,26,3/3,2365.5,29.1,9.107,8.95,0.89,0.11,10.02,,
2026-06-17 00:38:33,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,64k,65536,1,43100,30,3/3,1847.3,21.2,23.571,23.33,1.41,0.14,25.05,17.7,
2026-06-17 00:38:58,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,64k,65536,2,43102,30,3/3,1840.3,21.2,23.664,23.42,1.42,0.16,25.15,,
2026-06-17 00:39:24,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,64k,65536,3,43103,30,3/3,1839.2,21.1,23.657,23.44,1.42,0.09,25.15,,
2026-06-17 00:39:52,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,128k,131072,1,82380,82,3/3,1290.6,14.2,64.151,63.83,5.76,0.15,70.04,30.7,
2026-06-17 00:41:02,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,128k,131072,2,82382,82,3/3,1289.1,14.3,64.196,63.9,5.75,0.13,70.03,,
2026-06-17 00:42:12,llama3.1:8b,Llama 3.1 8B · dense · Q4_K_M,128k,131072,3,82381,82,3/3,1290.2,14.3,64.153,63.85,5.75,0.15,70.03,,
2026-06-17 00:43:35,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,0.5k-chat,2048,1,853,653,3/3,4261.7,56.0,11.844,0.2,11.66,0.22,12.36,10.4,
2026-06-17 00:43:47,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,0.5k-chat,2048,2,852,653,3/3,4357.5,56.1,11.812,0.2,11.64,0.22,12.33,,
2026-06-17 00:44:00,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,0.5k-chat,2048,3,853,650,3/3,4377.1,55.8,11.905,0.19,11.66,0.24,12.37,,
2026-06-17 00:44:12,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,8k,8192,1,5529,610,3/3,4303.4,54.1,14.898,1.28,11.27,3.5,16.48,10.7,
2026-06-17 00:44:28,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,8k,8192,2,5530,687,3/3,4362.7,54.2,12.862,1.27,12.68,0.2,14.47,,
2026-06-17 00:44:43,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,8k,8192,3,5530,737,3/3,4357.1,54.4,13.828,1.27,13.56,0.23,15.4,,
2026-06-17 00:45:03,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,32k,32768,1,22021,680,3/3,3851.8,45.8,19.36,5.72,14.85,0.23,21.27,11.1,
2026-06-17 00:45:24,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,32k,32768,2,22019,655,3/3,2408.7,47.3,21.75,9.14,13.85,0.24,23.64,,
2026-06-17 00:45:48,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,32k,32768,3,22022,655,3/3,3849.9,47.2,18.331,5.72,13.88,0.22,20.28,,
2026-06-17 00:46:12,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,64k,65536,1,44800,643,3/3,3404.7,40.3,27.692,13.16,15.95,0.21,29.97,11.7,
2026-06-17 00:46:42,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,64k,65536,2,44799,642,3/3,3425.7,41.2,27.207,13.08,15.57,0.2,29.43,,
2026-06-17 00:47:12,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,64k,65536,3,44799,648,3/3,3417.4,41.1,27.088,13.11,15.75,0.2,29.66,,
2026-06-17 00:47:46,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,128k,131072,1,85600,689,3/3,2736.6,33.1,50.569,31.28,20.81,0.22,53.38,13.0,
2026-06-17 00:48:40,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,128k,131072,2,85602,633,3/3,2804.9,33.1,48.157,30.52,19.13,0.25,50.97,,
2026-06-17 00:49:31,gemma4:e4b,Gemma 4 E4B · edge · Q4_K_M,128k,131072,3,85601,684,3/3,2802.9,33.1,49.691,30.54,20.69,0.22,52.46,,
2026-06-17 00:50:35,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,0.5k-chat,2048,1,900,229,3/3,3281.8,58.5,0.523,0.27,3.92,0.18,4.47,14.0,
2026-06-17 00:50:39,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,0.5k-chat,2048,2,904,229,3/3,3377.4,59.3,0.56,0.27,3.86,0.23,4.44,,
2026-06-17 00:50:44,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,0.5k-chat,2048,3,902,229,3/3,3324.8,59.3,0.534,0.27,3.86,0.2,4.42,,
2026-06-17 00:50:48,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,8k,8192,1,5655,316,3/3,3260.8,57.5,5.283,1.73,5.5,3.42,10.85,14.2,
2026-06-17 00:50:59,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,8k,8192,2,5656,293,1/3,3322.5,57.4,1.936,1.7,5.1,0.15,7.1,,
2026-06-17 00:51:06,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,8k,8192,3,5654,292,2/3,3307.0,57.2,1.991,1.71,5.1,0.2,7.15,,
2026-06-17 00:51:17,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,32k,32768,1,22434,284,3/3,2956.5,48.9,8.015,7.59,5.81,0.23,13.92,14.9,
2026-06-17 00:51:31,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,32k,32768,2,22433,260,1/3,2937.3,49.5,7.946,7.64,5.26,0.15,13.27,,
2026-06-17 00:51:44,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,32k,32768,3,22433,227,1/3,2941.7,49.3,8.021,7.63,4.61,0.2,12.69,,
2026-06-17 00:52:02,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,64k,65536,1,45601,212,1/3,2482.5,42.5,18.843,18.37,4.99,0.19,23.93,15.8,
2026-06-17 00:52:25,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,64k,65536,2,45597,311,1/3,2536.5,43.1,18.455,17.98,7.22,0.2,25.79,,
2026-06-17 00:52:51,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,64k,65536,3,45596,238,1/3,2538.4,42.8,18.451,17.96,5.56,0.21,24.17,,
2026-06-17 00:53:20,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,128k,131072,1,87102,314,1/3,2029.5,34.9,43.48,42.92,8.99,0.19,52.67,17.6,
2026-06-17 00:54:13,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,128k,131072,2,87101,219,1/3,2037.2,34.4,43.414,42.76,6.36,0.21,49.97,,
2026-06-17 00:55:03,gpt-oss:20b,gpt-oss 20B · MoE · MXFP4,128k,131072,3,87100,246,1/3,2037.8,34.9,43.361,42.74,7.05,0.19,50.6,,
2026-06-17 00:56:05,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,0.5k-chat,2048,1,1365,74,3/3,1566.2,13.9,1.054,0.87,5.32,0.17,6.4,16.4,
2026-06-17 00:56:11,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,0.5k-chat,2048,2,1368,74,3/3,1580.3,13.9,1.023,0.87,5.33,0.15,6.38,,
2026-06-17 00:56:18,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,0.5k-chat,2048,3,1368,74,3/3,1574.3,13.9,0.999,0.87,5.32,0.12,6.34,,
2026-06-17 00:56:24,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,8k,8192,1,6228,74,3/3,981.8,13.3,9.658,6.34,5.58,3.26,15.29,17.4,
2026-06-17 00:56:39,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,8k,8192,2,6227,74,3/3,1074.7,13.3,5.966,5.79,5.58,0.15,11.59,,
2026-06-17 00:56:51,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,8k,8192,3,6228,74,3/3,1070.5,13.3,5.961,5.82,5.58,0.12,11.58,,
2026-06-17 00:57:09,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,32k,32768,1,23373,71,3/3,890.2,11.4,26.515,26.26,6.21,0.15,32.82,21.4,
2026-06-17 00:57:41,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,32k,32768,2,23372,71,3/3,889.7,11.4,26.463,26.27,6.21,0.1,32.75,,
2026-06-17 00:58:14,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,32k,32768,3,23372,71,3/3,889.6,11.5,26.49,26.27,6.2,0.11,32.78,,
2026-06-17 00:58:54,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,64k,65536,1,47053,76,3/3,769.0,9.6,61.474,61.18,7.91,0.15,69.53,26.8,
2026-06-17 01:00:03,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,64k,65536,2,47050,76,3/3,756.9,9.6,62.454,62.16,7.91,0.12,70.51,,
2026-06-17 01:01:14,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,64k,65536,3,47051,76,3/3,756.2,9.6,62.548,62.22,7.9,0.15,70.59,,
2026-06-17 01:02:31,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,128k,131072,1,89467,76,3/3,616.2,7.5,145.631,145.18,10.18,0.15,156.03,37.6,
2026-06-17 01:05:07,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,128k,131072,2,89467,76,3/3,619.9,7.5,144.843,144.33,10.2,0.12,155.27,,
2026-06-17 01:07:43,mistral-small3.2:24b,Mistral Small 3.2 24B · dense · Q4_K_M,128k,131072,3,89469,76,3/3,617.0,7.5,145.467,145.02,10.19,0.14,155.91,,
2026-06-17 01:10:32,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,0.5k-chat,2048,1,868,480,3/3,578.2,11.1,1.71,1.5,43.14,0.2,45.04,22.5,
2026-06-17 01:11:17,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,0.5k-chat,2048,2,869,733,3/3,583.2,11.1,1.664,1.49,65.94,0.17,67.89,,
2026-06-17 01:12:25,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,0.5k-chat,2048,3,870,732,3/3,579.8,11.1,1.677,1.5,65.85,0.17,67.81,,
2026-06-17 01:13:33,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,8k,8192,1,5739,730,3/3,592.1,11.0,14.021,9.69,66.59,4.26,80.93,22.9,
2026-06-17 01:14:54,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,8k,8192,2,5737,876,3/3,593.8,11.0,9.878,9.66,79.93,0.2,90.17,,
2026-06-17 01:16:24,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,8k,8192,3,5739,662,3/3,593.5,11.0,9.873,9.67,60.36,0.18,70.52,,
2026-06-17 01:17:42,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,32k,32768,1,22921,1165,3/3,571.6,10.3,40.369,40.1,113.36,0.2,154.26,24.7,
2026-06-17 01:20:16,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,32k,32768,2,22922,1260,3/3,572.1,10.3,40.36,40.07,122.64,0.19,163.57,,
2026-06-17 01:23:00,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,32k,32768,3,22920,1320,3/3,571.5,10.3,40.382,40.1,128.46,0.2,169.43,,
2026-06-17 01:25:58,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,64k,65536,1,46647,1212,3/3,549.4,9.6,85.275,84.9,126.73,0.22,212.58,27.3,
2026-06-17 01:29:30,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,64k,65536,2,46645,663,3/3,550.0,9.6,85.212,84.81,69.22,0.19,154.81,,
2026-06-17 01:32:05,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,64k,65536,3,46646,883,3/3,550.8,9.6,85.061,84.69,92.24,0.18,177.73,,
2026-06-17 01:35:12,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,128k,131072,1,89155,664,3/3,516.6,8.5,173.075,172.6,78.34,0.2,251.87,32.3,
2026-06-17 01:39:23,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,128k,131072,2,89155,908,3/3,516.0,8.5,173.26,172.8,107.21,0.16,281.07,,
2026-06-17 01:44:05,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,128k,131072,3,89154,687,3/3,514.9,8.5,173.623,173.13,81.03,0.14,255.12,,
2026-06-17 01:48:30,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,256k,262144,1,174242,1229,3/3,458.3,6.7,380.895,380.17,183.35,0.17,565.11,42.5,
2026-06-17 01:57:55,qwen3.6:27b,Qwen 3.6 27B · dense · Q4_K_M,256k,262144,2,174241,983,3/3,458.6,6.7,380.715,379.92,147.68,0.17,529.14,,
